
c,590
Da Nang,9732.6208
Quang Nam,7814.4017
Ho Chi Minh,7466.411
Ha Noi,5533.75
Dak Lak,4513.7065
Thai Binh ,4079.4425
Quang Ngai,3864.8755
Hai Phong ,1894.832
Nghe An,1857.2595
Lam Dong,1833.861
Quang Ninh,1827.686
Thua Thien Hue,1733.7025
Ha Tinh,1718.9015
Lao Cai,1094.7705
Bac Ninh,963.433
Khanh Hoa ,961.2575
Gia Lai,954.237
Quang Tri ,902.861
Hai Duong,902.291
Dong Nai,869.896
Binh Dinh,867.217
Thanh Hoa,859.9495
Phu Yen,856.7955
Kon Tum,855.8607
Binh Duong,855.3705
Hung Yen,846.982
Ha Giang,824.0015
Dong Thap,815.689
Ba Ria - Vung Tau,811.832
Quang Binh,787.8065
Ninh Binh,783.104
Can Tho,778.3065
Kien Giang,774.7155
Vinh Phuc,757.8055
Dak Nong,755.63
Binh Thuan,751.1175
Tay Ninh,722.912
Ha Nam,718.181
Ninh Thuan,612.066
Bac Giang,603.6395
Thai Nguyen,597.284
Tra Vinh,592.42
Lang Son ,588.259
Ben Tre,581.4475
Phu Tho,574.389
Lai Chau,572.1945
Bac Lieu,506.578
Yen Bai ,444.5715
Hau Giang,284.5915
Binh Phuoc ,232.5505
Hoa Binh ,215.65
Tuyen Quang,214.3675
An Giang,202.1315
Tien Giang,200.773
Nam Dinh,199.6995
Cao Bang ,197.695
Ca Mau ,197.125
Vinh Long,196.6785
Long An,196.1845
Soc Trang,191.5865
Son La,179.4645
Dien Bien,177.27
Bac Kan,177.1655
